model,split,K,precision_at_k,recall_at_k,f1_at_k,map_at_k,ndcg_at_k,exact_match_at_k,n_test
LSA_50_1-1,50-50,1,0.138,0.05208666666666662,0.07288000000000008,0.05208666666666662,0.138,0.0064,2500
LSA_50_1-1,50-50,3,0.08826666666666737,0.09520666666666687,0.08802952380952414,0.07267222222222228,0.11181420082864633,0.0,2500
LSA_50_1-1,50-50,5,0.06711999999999979,0.11983999999999985,0.08312412698412719,0.0794215555555556,0.11774789609396537,0.0,2500
LSA_50_1-1,60-40,1,0.141,0.05416666666666663,0.07530000000000005,0.05416666666666663,0.141,0.0075,2000
LSA_50_1-1,60-40,3,0.0888333333333336,0.09693333333333348,0.08899047619047654,0.07487777777777777,0.1139054796985591,0.0,2000
LSA_50_1-1,60-40,5,0.0682000000000004,0.12175833333333345,0.08449444444444472,0.08183152777777766,0.12027901018458811,0.0,2000
LSA_50_1-1,70-30,1,0.13590939373750832,0.05059960026648903,0.07124139462580507,0.05059960026648903,0.13590939373750832,0.005329780146568954,1501
LSA_50_1-1,70-30,3,0.08572063069065033,0.09113924050632906,0.08516703150280783,0.07022355466725888,0.10819898921682096,0.0,1501
LSA_50_1-1,70-30,5,0.06715522984676932,0.11706640017765946,0.08271364064168904,0.07752202235546665,0.11534273468185906,0.0,1501
LSA_50_1-1,80-19,1,0.136,0.04830000000000003,0.06949999999999999,0.04830000000000003,0.136,0.002,1000
LSA_50_1-1,80-19,3,0.08333333333333326,0.08518333333333335,0.08179761904761905,0.06594166666666675,0.10400969710716769,0.0,1000
LSA_50_1-1,80-19,5,0.06540000000000028,0.10934999999999993,0.07978650793650804,0.07287833333333339,0.11043765613196148,0.0,1000
LSA_100_1-2,50-50,1,0.0824,0.03113333333333332,0.04341333333333338,0.03113333333333332,0.0824,0.0048,2500
LSA_100_1-2,50-50,3,0.06733333333333347,0.07656666666666678,0.06842380952380978,0.052294444444444456,0.08146332395126991,0.0,2500
LSA_100_1-2,50-50,5,0.05184000000000044,0.09662000000000014,0.06489936507936535,0.05763911111111114,0.08744985974833798,0.0,2500
LSA_100_1-2,60-40,1,0.081,0.030833333333333376,0.042966666666666674,0.030833333333333376,0.081,0.0045,2000
LSA_100_1-2,60-40,3,0.06783333333333313,0.077875,0.06914642857142878,0.052676388888888905,0.08201818212273669,0.0,2000
LSA_100_1-2,60-40,5,0.051300000000000415,0.09622500000000007,0.06424682539682576,0.05764555555555555,0.08714151288454931,0.0,2000
LSA_100_1-2,70-30,1,0.072618254497002,0.027204086164779057,0.0380413057961359,0.027204086164779057,0.072618254497002,0.003997335109926716,1501
LSA_100_1-2,70-30,3,0.06284699089495877,0.06969797912502772,0.06326893182322899,0.04677252202235552,0.07429045173436932,0.0,1501
LSA_100_1-2,70-30,5,0.04863424383744197,0.08827448367754827,0.06031693156943006,0.05169146494929308,0.07963037515332289,0.0,1501
LSA_100_1-2,80-19,1,0.067,0.02291666666666665,0.03333333333333332,0.02291666666666665,0.067,0.001,1000
LSA_100_1-2,80-19,3,0.06166666666666678,0.0635833333333334,0.06065476190476187,0.041422222222222235,0.06879902090492936,0.0,1000
LSA_100_1-2,80-19,5,0.046800000000000105,0.0796,0.057262698412698355,0.045542222222222234,0.07293228980513962,0.0,1000
